bestOfferEnabled,bidCount,buyItNowAvailable,categoryId,categoryName,conditionDisplayName,conditionId,country,endTime,expeditedShipping,gift,itemId,listingType,paymentMethod,postalCode,productId_type,productId_value,returnsAccepted,sellingState,shippingType,startTime,title,topRatedListing,value
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-07T20:28:13.000Z,True,False,121941732145,StoreInventory,PayPal,18966,ReferenceID,203694364,True,EndedWithoutSales,FlatDomesticCalculatedInternational,2016-03-31T20:28:13.000Z,"Apple MacBook Pro 15"" Retina 2.2GHz Core i7 16GB RAM 256GB MGXA2LL/A + Warranty!",True,1425.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-07T20:28:11.000Z,True,False,121941732119,StoreInventory,PayPal,18966,ReferenceID,174472295,True,EndedWithoutSales,FlatDomesticCalculatedInternational,2016-03-31T20:28:11.000Z,"13"" Apple MacBook Pro Retina-2.4GHz Core i5-256GB Flash-8GB-ME865LL/A+Warranty!",True,919.99
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-03T20:28:00.000Z,True,False,111954227396,FixedPrice,PayPal,07840,NA,NA,True,EndedWithoutSales,Calculated,2016-03-31T20:28:00.000Z,"Apple MacBook Pro 15.4"" Late 2013: i7-4850HQ 2.3GHz - 8GB - 512GB SSD - 10.10",True,1299.99
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-03-31T23:06:10.000Z,True,False,252339255535,FixedPrice,PayPal,34689,NA,NA,False,EndedWithSales,Calculated,2016-03-31T20:27:29.000Z,2014 Macbook Pro 13in 8GBRam 128GB SSD hard drive 2.6 Intel I5 core processor,False,725.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-02T20:18:02.000Z,True,False,262362958628,StoreInventory,PayPal,72701,ReferenceID,217091238,True,EndedWithSales,Calculated,2016-03-31T20:24:55.000Z,"Apple MacBook Pro Retina 13"" 2015 Laptop (2.7 GHz i5, 8GB, 128GB SSD) MF839LL/A",True,929.99
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-13T17:34:24.000Z,False,False,201552700282,StoreInventory,PayPal,75007,NA,NA,True,EndedWithSales,Free,2016-03-31T20:24:35.000Z,"MACBOOK PRO, A1278, MID 2012, 13"", 2.5GHz I5, 4GB, 500GB, OS X 10.8.5 Laptop",True,472.5
True,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-03T20:24:27.000Z,True,False,111954224674,StoreInventory,PayPal,11229,ReferenceID,115174685,True,EndedWithoutSales,FlatDomesticCalculatedInternational,2016-03-31T20:24:27.000Z,Apple MacBook Pro 13 2012 i5 Yosemite Win8.1 Office11 etc  Upgrades,False,679.0
False,NA,False,111422,Apple Laptops,For parts or not working,7000,US,2016-04-01T22:22:30.000Z,False,False,331818830822,FixedPrice,PayPal,NA,NA,NA,True,EndedWithSales,Free,2016-03-31T20:22:50.000Z,"Apple MacBook Pro A1286 Laptop Computer Intel Core 2 Duo - 15.4"" Display - 8GB",False,250.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-10T20:20:41.000Z,False,False,262362954779,StoreInventory,PayPal,30043,NA,NA,True,EndedWithoutSales,Free,2016-03-31T20:20:41.000Z,"Apple MacBook Pro 15.4"" Retina  i7  2.5GHz 16GB 512GB SSD MGXC2LL/A",True,1499.0
False,NA,False,111422,Apple Laptops,Used,3000,US,2016-04-10T20:20:41.000Z,False,False,262362954782,StoreInventory,PayPal,30043,ReferenceID,219424021,True,EndedWithoutSales,Free,2016-03-31T20:20:41.000Z,"Apple MacBook Pro 15.4"" Retina  i7  2.5GHz 16GB 512GB SSD MJLT2LL/A  (WARRANTY)",True,1865.0
