productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
1,205,4,3,41,1,0,0,0,1,4,1,1,5,1165,100.0,1,2590.9,0,22,2
1,205,5,4,41,1,0,1,0,0,4,1,0,7,101,100.0,0,1325.0,0,22,2
0,30,5,4,41,0,0,0,0,0,3,0,0,7,224,100.0,0,0.0,0,22,2
1,205,5,4,41,1,0,0,0,1,4,1,0,7,467,99.4,1,559.99,0,22,2
0,32,0,5,41,0,0,0,0,0,0,0,0,7,376,100.0,0,0.0,0,22,2
1,205,5,4,41,1,0,1,0,1,2,0,1,9,31,100.0,0,495.0,0,22,2
1,205,0,5,41,0,0,0,0,1,0,0,1,9,14,100.0,0,0.0,0,22,2
0,60,5,4,41,1,0,1,0,1,3,0,1,5,4614,99.8,0,350.0,0,22,2
1,205,5,4,41,1,0,1,0,1,2,0,0,7,188,100.0,0,429.0,0,22,2
1,205,5,4,41,0,0,0,0,1,0,0,0,9,13,100.0,0,0.0,0,22,2
1,205,5,4,41,0,0,0,0,0,0,0,0,7,475,100.0,0,0.0,0,22,2
1,205,0,5,41,1,0,0,0,1,3,0,0,5,1220,99.8,1,744.0,0,22,2
0,143,0,5,41,0,0,0,0,1,0,0,0,5,2596,100.0,1,0.0,0,21,2
1,205,5,4,41,0,0,0,0,1,0,0,1,7,123,100.0,0,0.0,0,21,2
0,100,2,0,41,1,0,1,0,0,2,0,1,10,19975,99.7,1,1375.0,0,21,2
0,11,5,4,41,1,0,0,0,1,4,1,1,8,40629,99.0,1,484.95,0,21,2
1,205,5,4,41,1,0,1,0,1,0,0,0,9,34,100.0,0,249.0,0,21,2
1,205,2,0,41,1,0,1,0,1,4,1,0,5,3081,99.6,1,1775.0,0,21,2
1,205,0,5,41,0,0,0,0,0,0,0,0,9,25,100.0,0,0.0,0,21,2
0,167,5,4,41,0,0,0,0,0,4,1,0,2,4,100.0,0,0.0,0,21,2
1,205,5,4,41,1,0,0,0,1,3,0,1,5,1165,100.0,1,2190.9,0,21,2
1,205,5,4,41,1,0,1,0,0,3,0,1,1,5063,100.0,0,415.0,0,21,2
0,89,5,4,41,1,0,0,0,0,4,1,1,3,579,99.6,1,1389.0,0,21,2
