productId_type,productId_value,conditionDisplayName,conditionId,endTime,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,feedbackRatingStar,feedbackScore,positiveFeedbackPercent,topRatedSeller,value,sellingState,endHour,endWeekday
1,205,5,4,2016-05-03T21:07:47.000Z,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,0,21,1
1,205,4,3,2016-05-03T21:06:54.000Z,41,1,0,0,0,0,4,1,0,7,412,99.1,0,245.0,1,21,1
1,205,5,4,2016-05-03T21:05:32.000Z,41,1,0,1,0,0,3,0,0,5,2064,100.0,0,250.0,0,21,1
1,205,5,4,2016-05-03T21:04:48.000Z,41,1,0,1,0,0,3,0,0,5,2064,100.0,0,250.0,0,21,1
1,205,5,4,2016-05-03T21:04:18.000Z,41,1,0,0,0,1,4,1,1,9,27,100.0,0,705.0,1,21,1
0,195,1,2,2016-05-03T21:03:47.000Z,41,1,0,1,0,1,4,1,0,7,144,99.1,0,480.0,1,21,1
1,205,4,3,2016-05-03T21:02:50.000Z,41,1,0,0,0,1,0,0,0,2,0,0.0,0,700.0,0,21,1
1,205,4,3,2016-05-03T21:02:38.000Z,41,1,0,1,0,0,3,0,1,5,2063,100.0,0,530.0,0,21,1
1,205,5,4,2016-05-03T21:01:34.000Z,41,0,0,0,0,1,0,0,0,9,46,100.0,0,0.0,0,21,1
0,49,5,4,2016-05-03T21:00:38.000Z,41,0,0,0,0,0,0,0,1,10,12661,99.0,0,0.0,0,21,1
1,205,5,4,2016-05-03T21:00:08.000Z,41,0,0,0,0,0,0,0,1,10,12661,99.0,0,0.0,0,21,1
1,205,5,4,2016-05-03T20:59:41.000Z,41,1,0,0,0,1,2,0,0,5,1652,100.0,0,2649.95,1,20,1
0,83,5,4,2016-05-03T20:58:11.000Z,41,1,0,1,0,1,3,0,0,3,820,100.0,1,999.0,1,20,1
0,100,2,0,2016-05-03T20:53:19.000Z,41,1,0,1,0,0,2,0,1,10,20677,99.7,1,1530.0,0,20,1
0,98,2,0,2016-05-03T20:52:29.000Z,41,1,0,0,0,1,3,0,1,3,622,100.0,0,1299.0,0,20,1
0,24,5,4,2016-05-03T20:50:30.000Z,41,0,1,0,0,1,2,0,0,2,0,0.0,0,0.0,0,20,1
0,49,5,4,2016-05-03T20:49:54.000Z,41,1,0,0,0,1,4,1,1,3,920,100.0,0,1169.0,1,20,1
0,49,5,4,2016-05-03T20:49:54.000Z,41,1,0,0,0,1,4,1,1,3,920,100.0,0,1195.0,1,20,1
0,195,5,4,2016-05-03T20:48:37.000Z,41,0,0,0,0,1,0,0,0,9,23,100.0,0,0.0,0,20,1
1,205,5,4,2016-05-03T20:48:09.000Z,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,1,20,1
1,205,5,4,2016-05-03T20:47:57.000Z,41,0,0,0,0,1,0,0,1,10,20626,99.6,1,0.0,0,20,1
0,49,5,4,2016-05-03T20:47:44.000Z,41,0,1,0,0,1,3,0,1,7,172,100.0,0,0.0,1,20,1
1,205,5,4,2016-05-03T20:46:22.000Z,41,1,0,1,0,1,4,1,0,0,55,100.0,0,650.0,0,20,1
1,205,5,4,2016-05-03T20:43:55.000Z,41,1,0,1,0,1,0,0,0,3,505,100.0,0,985.0,1,20,1
0,45,5,4,2016-05-03T20:41:55.000Z,41,0,0,0,0,0,4,1,1,3,694,100.0,1,0.0,1,20,1
0,24,0,5,2016-05-03T20:41:55.000Z,41,1,0,0,0,1,3,0,1,5,3670,99.2,1,239.99,1,20,1
1,205,5,4,2016-05-03T20:41:44.000Z,41,0,0,0,0,1,0,0,1,9,16,100.0,0,0.0,1,20,1
0,30,5,4,2016-05-03T20:37:39.000Z,41,1,0,0,0,1,4,1,0,7,193,100.0,0,550.0,1,20,1
1,205,5,4,2016-05-03T20:36:48.000Z,41,0,0,0,0,1,4,1,0,7,398,100.0,0,0.0,1,20,1
0,11,5,4,2016-05-03T20:35:58.000Z,41,1,0,1,0,1,2,0,0,7,320,100.0,1,474.95,1,20,1
