productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,endHour,endWeekday
1,157,5,4,20,0,0,0,0,0,4,1,1,0,4,5
1,157,5,4,20,0,0,0,0,1,3,0,0,1,4,5
1,157,0,5,20,0,1,0,0,0,3,0,0,1,17,5
0,82,5,4,20,0,0,0,0,0,3,0,0,1,9,5
0,53,5,4,20,0,0,0,0,1,4,1,0,0,3,5
1,157,5,4,20,1,0,0,0,1,2,0,0,0,19,4
0,82,5,4,20,0,0,0,0,1,0,0,0,0,3,4
0,35,5,4,20,1,0,0,0,0,4,1,0,0,20,5
0,68,5,4,20,0,0,0,0,0,4,1,0,1,19,5
1,157,5,4,20,1,0,1,0,1,4,1,0,0,17,4
0,39,5,4,20,0,0,0,0,1,4,1,0,0,3,4
1,157,5,4,20,1,0,1,0,1,0,0,1,0,3,4
1,157,5,4,20,0,0,0,0,1,0,0,1,1,3,4
0,49,5,4,20,0,1,0,0,0,4,1,1,1,17,3
1,157,1,2,20,0,0,0,0,0,3,0,1,1,3,5
1,157,2,0,20,1,0,0,0,1,2,0,0,0,21,4
1,157,1,2,20,0,0,0,0,0,3,0,1,1,3,5
1,157,1,2,20,0,0,0,0,0,3,0,1,1,3,5
0,71,5,4,20,1,0,1,0,1,0,0,1,0,20,4
1,157,4,3,20,1,0,1,0,1,0,0,1,0,12,4
0,80,2,0,20,1,0,0,0,0,3,0,0,1,16,5
1,157,4,3,20,1,0,1,0,1,3,0,0,1,13,4
1,157,1,2,20,0,0,0,0,0,3,0,1,1,2,5
0,68,5,4,20,0,1,0,0,1,0,0,0,1,2,4
1,157,1,2,20,0,0,0,0,0,3,0,1,1,19,4
1,157,1,2,20,0,0,0,0,0,3,0,1,1,2,5
1,157,5,4,20,1,0,1,0,1,0,0,0,0,13,4
1,157,1,2,20,0,0,0,0,0,3,0,1,0,2,5
0,79,5,4,20,1,0,1,0,1,0,0,0,1,2,4
0,78,4,3,20,1,0,1,0,1,4,1,0,0,2,4
0,36,0,5,20,0,0,0,0,0,3,0,0,0,2,4
1,157,1,2,20,0,0,0,0,0,3,0,1,1,2,4
0,33,0,5,20,1,0,1,0,0,3,0,0,0,3,4
0,148,5,4,20,0,0,0,0,1,0,0,0,1,3,5
1,157,5,4,20,1,0,1,0,1,0,0,0,0,5,4
0,8,5,4,20,0,0,0,0,0,2,0,0,0,2,5
1,157,4,3,20,1,0,1,0,1,2,0,0,0,20,4
1,157,5,4,20,1,0,0,0,0,4,1,1,0,2,4
1,157,5,4,20,0,0,0,0,1,4,1,1,0,1,5
0,110,5,4,20,1,0,1,0,1,4,1,1,0,0,5
1,157,5,4,20,1,0,1,0,1,0,0,0,1,4,4
0,53,5,4,20,1,0,1,0,1,0,0,0,0,1,4
1,157,0,5,20,1,0,0,0,1,3,0,1,0,1,4
1,157,5,4,20,1,0,1,0,1,4,1,0,0,2,4
0,37,5,4,20,1,0,0,0,1,3,0,1,0,22,5
1,157,0,5,20,1,0,0,0,1,3,0,1,0,2,4
1,157,0,5,20,1,0,0,0,1,3,0,1,0,18,4
1,157,0,5,20,1,0,1,0,1,0,0,0,0,1,4
0,70,5,4,20,1,0,0,0,1,3,0,1,0,2,6
0,37,5,4,20,0,0,0,0,1,4,1,0,0,1,4
1,157,0,5,20,1,0,0,0,1,3,0,1,0,1,4
1,157,2,0,20,1,0,1,0,1,0,0,0,0,10,4
0,156,5,4,20,0,0,0,0,0,0,0,0,1,0,5
0,77,5,4,20,1,0,0,0,0,4,1,1,0,1,4
0,35,5,4,20,0,0,0,0,0,2,0,1,0,0,5
0,107,2,0,20,1,0,1,0,1,0,0,0,0,1,4
0,77,5,4,20,1,0,0,0,0,4,1,1,0,1,4
0,8,0,5,20,0,0,0,0,1,3,0,0,0,16,4
1,157,5,4,20,1,0,1,0,1,0,0,0,0,2,4
0,27,5,4,20,1,0,1,0,1,2,0,0,1,0,5
1,157,5,4,20,0,0,0,0,0,2,0,0,0,0,5
